Year,model,Configuration,Transmission,mpg,Displacement
2019,Bentley,Continental GT,Automatic,20.0,6000
2019,Bentley,Continental GT,Automatic,21.0,6000
2019,Bentley,Continental GT,Automatic,20.0,6000
2019,Bentley,Continental GT,Automatic,21.0,6000
2019,Bentley,Continental GT,Automatic,24.0,4000
2019,Bentley,Continental GT,Automatic,25.0,4000
2019,Bentley,Continental GT,Automatic,24.0,4000
2019,Bentley,Continental GT,Automatic,25.0,4000
2019,Bentley,Flying Spur,Automatic,24.0,4000
2019,Bentley,Flying Spur,Automatic,20.0,6000
2019,Bentley,Mulsanne,Automatic,18.0,6800
2019,BMW,2 Series,Automatic,34.0,2000
2019,BMW,2 Series,Automatic,36.0,2000
2019,BMW,2 Series,Automatic,36.0,2000
2019,BMW,2 Series,Automatic,33.0,2000
2019,BMW,2 Series,Automatic,35.0,2000
2019,BMW,2 Series,Automatic,35.0,2000
2019,BMW,2 Series,Automatic,32.0,3000
2019,BMW,2 Series,Automatic,32.0,3000
2019,BMW,2 Series,Automatic,30.0,3000
2019,BMW,3 Series,Automatic,36.0,2000
2019,BMW,3 Series,Automatic,35.0,2000
2019,BMW,3 Series,Automatic,45.0,2000
2019,BMW,3 Series,Automatic,43.0,2000
2019,BMW,3 Series,Automatic,43.0,2000
2019,BMW,3 Series,Automatic,35.0,2000
2019,BMW,3 Series,Automatic,35.0,2000
2019,BMW,3 Series,Automatic,33.0,2000
2019,BMW,3 Series,Automatic,33.0,2000
2019,BMW,3 Series,Automatic,33.0,2000
2019,BMW,3 Series,Automatic,32.0,3000
2019,BMW,3 Series,Automatic,30.0,3000
2019,BMW,3 Series,Automatic,33.0,3000
2019,BMW,3 Series Gran Turismo,Automatic,33.0,2000
2019,BMW,3 Series Gran Turismo,Automatic,33.0,2000
2019,BMW,3 Series Gran Turismo,Automatic,30.0,3000
2019,BMW,4 Series,Automatic,34.0,2000
2019,BMW,4 Series,Automatic,35.0,2000
2019,BMW,4 Series,Automatic,34.0,2000
2019,BMW,4 Series,Automatic,35.0,2000
2019,BMW,4 Series,Automatic,33.0,2000
2019,BMW,4 Series,Automatic,33.0,2000
2019,BMW,4 Series,Automatic,33.0,2000
2019,BMW,4 Series,Automatic,33.0,2000
2019,BMW,4 Series,Automatic,31.0,3000
2019,BMW,4 Series,Automatic,32.0,3000
2019,BMW,4 Series,Automatic,29.0,3000
2019,BMW,4 Series,Automatic,30.0,3000
2019,BMW,4 Series Gran Coupe,Automatic,34.0,2000
2019,BMW,4 Series Gran Coupe,Automatic,34.0,2000
2019,BMW,4 Series Gran Coupe,Automatic,33.0,2000
2019,BMW,4 Series Gran Coupe,Automatic,33.0,2000
2019,BMW,4 Series Gran Coupe,Automatic,32.0,3000
2019,BMW,4 Series Gran Coupe,Automatic,31.0,3000
2019,BMW,5 Series,Automatic,34.0,2000
2019,BMW,5 Series,Automatic,33.0,2000
2019,BMW,5 Series,Automatic,38.0,3000
2019,BMW,5 Series,Automatic,37.0,3000
2019,BMW,5 Series,Automatic,30.0,3000
2019,BMW,5 Series,Automatic,29.0,3000
2019,BMW,5 Series,Automatic,25.0,4400
2019,BMW,5 Series,Automatic,24.0,4400
2019,BMW,5 Series Gran Turismo,Automatic,28.0,3000
2019,BMW,5 Series Gran Turismo,Automatic,26.0,3000
2019,BMW,5 Series Gran Turismo,Automatic,25.0,4400
2019,BMW,5 Series Gran Turismo,Automatic,24.0,4400
2019,BMW,6 Series,Automatic,31.0,3000
2019,BMW,6 Series,Automatic,32.0,3000
2019,BMW,6 Series,Automatic,29.0,3000
2019,BMW,6 Series,Automatic,29.0,3000
2019,BMW,6 Series,Automatic,25.0,4400
2019,BMW,6 Series,Automatic,25.0,4400
2019,BMW,6 Series,Automatic,24.0,4400
2019,BMW,6 Series,Automatic,25.0,4400
2019,BMW,6 Series Gran Coupe,Automatic,31.0,3000
2019,BMW,6 Series Gran Coupe,Automatic,29.0,3000
2019,BMW,6 Series Gran Coupe,Automatic,25.0,4400
2019,BMW,6 Series Gran Coupe,Automatic,24.0,4400
2019,BMW,7 Series,Automatic,29.0,3000
2019,BMW,7 Series,Automatic,31.0,3000
2019,BMW,7 Series,Automatic,29.0,3000
2019,BMW,7 Series,Automatic,28.0,3000
2019,BMW,7 Series,Automatic,25.0,4400
2019,BMW,7 Series,Automatic,24.0,4400
2019,BMW,7 Series,Automatic,25.0,4400
2019,BMW,7 Series,Automatic,24.0,4400
2019,BMW,7 Series,Automatic,20.0,6000
2019,BMW,ActiveHybrid 5,Automatic,30.0,3000
2019,BMW,ActiveHybrid 7,Automatic,30.0,3000
2019,BMW,ALPINA B6 Gran Coupe,Automatic,24.0,4400
2019,BMW,ALPINA B7,Automatic,25.0,4400
2019,BMW,ALPINA B7,Automatic,24.0,4400
2019,BMW,ALPINA B7,Automatic,25.0,4400
2019,BMW,ALPINA B7,Automatic,24.0,4400
2019,BMW,M3,Manual,26.0,3000
2019,BMW,M4,Manual,26.0,3000
2019,BMW,M4,Manual,26.0,3000
2019,BMW,M5,Automated Manual,20.0,4400
2019,BMW,M6,Automated Manual,20.0,4400
2019,BMW,M6,Automated Manual,20.0,4400
2019,BMW,M6 Gran Coupe,Automated Manual,20.0,4400
2019,BMW,X1,Automatic,34.0,2000
2019,BMW,X1,Automatic,32.0,2000
2019,BMW,X1,Automatic,27.0,3000
2019,BMW,X3,Automatic,28.0,2000
2019,BMW,X3,Automatic,34.0,2000
2019,BMW,X3,Automatic,28.0,2000
2019,BMW,X3,Automatic,26.0,3000
2019,BMW,X4,Automatic,,2000
2019,BMW,X4,Automatic,,3000
2019,BMW,X5,Automatic,27.0,3000
2019,BMW,X5,Automatic,31.0,3000
2019,BMW,X5,Automatic,27.0,3000
2019,BMW,X5,Automatic,22.0,4400
2019,BMW,X6,Automatic,27.0,3000
2019,BMW,X6,Automatic,27.0,3000
2019,BMW,X6,Automatic,22.0,4400
2019,BMW,Z4,Manual,34.0,2000
2019,BMW,Z4,Automated Manual,24.0,3000
2019,BMW,Z4,Automated Manual,24.0,3000
2019,Buick,Enclave,Automatic,24.0,3600
2019,Buick,Enclave,Automatic,24.0,3600
2019,Buick,Enclave,Automatic,22.0,3600
2019,Buick,Enclave,Automatic,24.0,3600
2019,Buick,Enclave,Automatic,22.0,3600
2019,Buick,Encore,Automatic,33.0,1400
2019,Buick,Encore,Automatic,30.0,1400
2019,Buick,Encore,Automatic,33.0,1400
2019,Buick,Encore,Automatic,30.0,1400
2019,Buick,Encore,Automatic,33.0,1400
2019,Buick,Encore,Automatic,30.0,1400
2019,Buick,Encore,Automatic,33.0,1400
2019,Buick,Encore,Automatic,30.0,1400
2019,Buick,LaCrosse,Automatic,36.0,2400
2019,Buick,LaCrosse,Automatic,36.0,2400
2019,Buick,LaCrosse,Automatic,26.0,3600
2019,Buick,LaCrosse,Automatic,28.0,3600
2019,Buick,LaCrosse,Automatic,26.0,3600
2019,Buick,LaCrosse,Automatic,28.0,3600
2019,Buick,Regal,Automatic,30.0,2000
2019,Buick,Regal,Automatic,27.0,2000
2019,Buick,Regal,Automatic,30.0,2000
2019,Buick,Regal,Automatic,27.0,2000
2019,Buick,Regal,Automatic,30.0,2000
2019,Buick,Regal,Automatic,27.0,2000
2019,Buick,Regal,Automatic,30.0,2000
2019,Buick,Regal,Automatic,27.0,2000
2019,Buick,Verano,Automatic,32.0,2400
2019,Buick,Verano,Automatic,32.0,2400
2019,Buick,Verano,Automatic,32.0,2400
2019,Buick,Verano,Automatic,30.0,2000
2019,Cadillac,ATS,Automatic,30.0,2000
2019,Cadillac,ATS,Automatic,33.0,2500
2019,Cadillac,ATS,Automatic,28.0,3600
2019,Cadillac,ATS,Automatic,28.0,2000
2019,Cadillac,ATS,Automatic,26.0,3600
2019,Cadillac,ATS,Automatic,30.0,2000
2019,Cadillac,ATS,Automatic,28.0,3600
2019,Cadillac,ATS,Automatic,28.0,2000
2019,Cadillac,ATS,Automatic,26.0,3600
2019,Cadillac,ATS,Automatic,30.0,2000
2019,Cadillac,ATS,Automatic,28.0,3600
2019,Cadillac,ATS,Automatic,28.0,2000
2019,Cadillac,ATS,Automatic,26.0,3600
2019,Cadillac,ATS,Automatic,30.0,2000
2019,Cadillac,ATS,Automatic,33.0,2500
2019,Cadillac,ATS,Automatic,28.0,2000
2019,Cadillac,ATS Coupe,Automatic,31.0,2000
2019,Cadillac,ATS Coupe,Automatic,28.0,3600
2019,Cadillac,ATS Coupe,Automatic,29.0,2000
2019,Cadillac,ATS Coupe,Automatic,26.0,3600
2019,Cadillac,ATS Coupe,Automatic,31.0,2000
2019,Cadillac,ATS Coupe,Automatic,28.0,3600
2019,Cadillac,ATS Coupe,Automatic,29.0,2000
