brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
Nissan,Quest,2006,"$2,999.00 ",Blue,na,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"150,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1614 Military Trail, Toronto, ON, M1C1B2"
Toyota,Yaris,2009,"$5,999.00 ",Silver,LE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"113,000",https://www.carproof.com/order?ref=kijiji&vin=JTDKT923095273855,"Scarborough, ON M1H 2Z8"
Honda,Element,2006,"$4,500.00 ",na,EX,Used,"SUV, Crossover",4 x 4,Automatic,na,"305,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1P 2K9"
Hyundai,Elantra,2014,"$9,500.00 ",Green,GL,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"53,019",https://www.carproof.com/order?ref=kijiji&vin=KMHD25LH5EU226590,"Scarborough, ON M1L 4J5"
Volkswagen,Jetta,2013,"$7,999.00 ",Blue,Comfortline,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"120,017",https://www.carproof.com/order?ref=kijiji&vin=3VW2K7AJ7DM267946,"55 Toro Rd, North York, ON"
Mercedes-Benz,S-Class,2008,"$12,800.00 ",Black,S.450.AWD V.8 engine Economic,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"202,300",https://www.carproof.com/order?ref=kijiji&vin=null,"Danforth Avenue, Toronto, ON"
Honda,Odyssey,2006,"$3,400.00 ",na,EXL,Used,"Minivan, Van",na,Automatic,na,"213,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Toronto, ON M5S 1N5"
Volkswagen,Jetta,2015,"$13,990.00 ",Grey,2.0L TRENDLINE AUT0 A/C H/SEATS BACKUP CAMERA 54K,Used,Sedan,Front-wheel drive (FWD),Automatic,na,"54,268",https://reports.carproof.com/en/main?id=Sdb4P/z7eZLVyx9iRWhCgRBXoS1p29CE&utm_ref=kijiji,"1235 Finch Ave. W., Toronto, ON, M3J 2G4"
Ford,Mustang,2013,"$43,988.00 ",White,Boss 302 Recaro Seats Helical Diff Car cover,Used,Sedan,Rear-wheel drive (RWD),Manual,Gasoline,"12,032",https://www.carproof.com/order?ref=kijiji&vin=1ZVBP8CU9D5222513,"222 - 2 Black Walnut Rd, Saint George Brant, ON, N0E 1N0"
Ford,Other,2008,"$11,495.00 ",Blue,E 150 CARGO 4.6L Loaded Divider Certified ONLY 84K,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"84,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1065 Martingrove Road, Etobicoke, ON, M9W 4W6"
BMW,3-Series,2014,"$19,500.00 ",White,na,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"64,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M2N 6Z6"
Nissan,Rogue,2010,na,Silver,"S,AWD,no accident ,4cyl",Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"239,000",https://www.carproof.com/order?ref=kijiji&vin=JN8AS5MV3AW118113,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Dodge,Charger,2010,na,Silver,"SE,RWD,no accident",Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,"185,000",https://www.carproof.com/order?ref=kijiji&vin=2B3CA4CD7AH112860,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Toyota,Camry,2014,"$12,988.00 ",Grey,LE-BLUETOOTH-BACK UP CAMERA-ONLY 81KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"81,000",https://www.carproof.com/order?ref=kijiji&vin=4T1BF1FK3EU351244,"301 Weston Road, Toronto, ON, M6N3P1"
Nissan,Quest,2006,"$2,999.00 ",Blue,na,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"150,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1614 Military Trail, Toronto, ON, M1C1B2"
Toyota,Yaris,2009,"$5,999.00 ",Silver,LE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"113,000",https://www.carproof.com/order?ref=kijiji&vin=JTDKT923095273855,"Scarborough, ON M1H 2Z8"
Honda,Element,2006,"$4,500.00 ",na,EX,Used,"SUV, Crossover",4 x 4,Automatic,na,"305,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1P 2K9"
Hyundai,Elantra,2014,"$9,500.00 ",Green,GL,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"53,019",https://www.carproof.com/order?ref=kijiji&vin=KMHD25LH5EU226590,"Scarborough, ON M1L 4J5"
Volkswagen,Jetta,2013,"$7,999.00 ",Blue,Comfortline,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"120,017",https://www.carproof.com/order?ref=kijiji&vin=3VW2K7AJ7DM267946,"55 Toro Rd, North York, ON"
Mercedes-Benz,S-Class,2008,"$12,800.00 ",Black,S.450.AWD V.8 engine Economic,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"202,300",https://www.carproof.com/order?ref=kijiji&vin=null,"Danforth Avenue, Toronto, ON"
Nissan,Rogue,2019,"$30,946.00 ",Blue,S,New,"SUV, Crossover",Front-wheel drive (FWD),Other,na,na,na,"275 West Hunt Club Road, Ottawa, ON, K2E 1A6"
Audi,Q5,2015,"$36,800.00 ",Black,3.0T QUATTRO TECHNIK,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"95,477",https://www.carproof.com/order?ref=kijiji&vin=WA1LGCFP1FA055939,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Ford,E-350,2013,"$17,850.00 ",White,XL | CAMERA | SENSORS | 12 PASSENGER,Used,Other,Rear-wheel drive (RWD),Automatic,na,"97,708",https://www.carproof.com/order?ref=kijiji&vin=1FBNE3BL3DDA58946,"12030 Yonge Street, Richmond Hill, ON, L4E 3M2"
Jeep,Cherokee,2014,"$15,850.00 ",Black,SPORT 4X4,Used,"SUV, Crossover",Other,Automatic,na,"104,000",https://reports.carproof.com/en/main?id=qOKOGCNWRMqe5OcRRcLDhHlXpRtoo5ye&utm_ref=kijiji,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
BMW,3-Series,2014,"$19,500.00 ",White,na,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"64,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M2N 6Z6"
Nissan,Rogue,2010,na,Silver,"S,AWD,no accident ,4cyl",Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"239,000",https://www.carproof.com/order?ref=kijiji&vin=JN8AS5MV3AW118113,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Dodge,Charger,2010,na,Silver,"SE,RWD,no accident",Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,"185,000",https://www.carproof.com/order?ref=kijiji&vin=2B3CA4CD7AH112860,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Toyota,Camry,2014,"$12,988.00 ",Grey,LE-BLUETOOTH-BACK UP CAMERA-ONLY 81KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"81,000",https://www.carproof.com/order?ref=kijiji&vin=4T1BF1FK3EU351244,"301 Weston Road, Toronto, ON, M6N3P1"
Nissan,Quest,2006,"$2,999.00 ",Blue,na,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"150,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1614 Military Trail, Toronto, ON, M1C1B2"
Toyota,Yaris,2009,"$5,999.00 ",Silver,LE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"113,000",https://www.carproof.com/order?ref=kijiji&vin=JTDKT923095273855,"Scarborough, ON M1H 2Z8"
Honda,Element,2006,"$4,500.00 ",na,EX,Used,"SUV, Crossover",4 x 4,Automatic,na,"305,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1P 2K9"
Hyundai,Elantra,2014,"$9,500.00 ",Green,GL,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"53,019",https://www.carproof.com/order?ref=kijiji&vin=KMHD25LH5EU226590,"Scarborough, ON M1L 4J5"
Volkswagen,Jetta,2013,"$7,999.00 ",Blue,Comfortline,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"120,017",https://www.carproof.com/order?ref=kijiji&vin=3VW2K7AJ7DM267946,"55 Toro Rd, North York, ON"
Mercedes-Benz,S-Class,2008,"$12,800.00 ",Black,S.450.AWD V.8 engine Economic,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"202,300",https://www.carproof.com/order?ref=kijiji&vin=null,"Danforth Avenue, Toronto, ON"
Audi,A4,2010,"$13,995.00 ",White,Quattro,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"137,226",https://www.carproof.com/order?ref=kijiji&vin=null,"2115 Lawrence Ave E, Scarborough, ON, M1R 2Z8"
Jeep,Grand Cherokee,2018,"$102,988.00 ",Black,Trackhawk,New,"SUV, Crossover",4 x 4,Automatic,Gasoline,na,na,"212 Lakeshore Road West, Mississauga, ON, L5H 1G6"
Chevrolet,Corvette,2004,"$21,800.00 ",Red,"6 SPEED, ACTIVE HAND",Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,na,"133,247",https://www.carproof.com/order?ref=kijiji&vin=1G1YY22G945103212,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Honda,Civic,2019,"$28,018.00 ",Other,Sedan Sport CVT,New,Sedan,Front-wheel drive (FWD),Automatic,na,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Corvette,2016,"$76,800.00 ",Other,"Z06 CONVERTIBLE, HEA",Used,Convertible,Rear-wheel drive (RWD),Automatic,na,"21,399",https://www.carproof.com/order?ref=kijiji&vin=1G1YN3D6XG5612880,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Toyota,Yaris,2007,"$5,300.00 ",Silver,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"154,868",https://www.carproof.com/order?ref=kijiji&vin=null,"Etobicoke, ON M8X 2P3"
BMW,3-Series,2014,"$19,500.00 ",White,na,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"64,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M2N 6Z6"
Nissan,Rogue,2010,na,Silver,"S,AWD,no accident ,4cyl",Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"239,000",https://www.carproof.com/order?ref=kijiji&vin=JN8AS5MV3AW118113,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Dodge,Charger,2010,na,Silver,"SE,RWD,no accident",Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,"185,000",https://www.carproof.com/order?ref=kijiji&vin=2B3CA4CD7AH112860,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Toyota,Camry,2014,"$12,988.00 ",Grey,LE-BLUETOOTH-BACK UP CAMERA-ONLY 81KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"81,000",https://www.carproof.com/order?ref=kijiji&vin=4T1BF1FK3EU351244,"301 Weston Road, Toronto, ON, M6N3P1"
Nissan,Quest,2006,"$2,999.00 ",Blue,na,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"150,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1614 Military Trail, Toronto, ON, M1C1B2"
Toyota,Yaris,2009,"$5,999.00 ",Silver,LE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"113,000",https://www.carproof.com/order?ref=kijiji&vin=JTDKT923095273855,"Scarborough, ON M1H 2Z8"
Honda,Element,2006,"$4,500.00 ",na,EX,Used,"SUV, Crossover",4 x 4,Automatic,na,"305,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1P 2K9"
BMW,3-Series,2014,"$17,990.00 ",Grey,328I X DRIVE PREMIUM + LIGHTING PKG AUT0 SUNROOF,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"105,928",https://www.carproof.com/order?ref=kijiji&vin=WBA3B3C55EJ980016,"1235 Finch Ave. W., Toronto, ON, M3J 2G4"
Honda,Fit,2013,"$9,382.00 ",Blue,LX 5AT,Used,Sedan,Other,Automatic,na,"112,844",https://www.carproof.com/order?ref=kijiji&vin=LUCGE8H54D3008987,"2210 Battleford Road, Mississauga, ON, L5N 3K6"
Honda,Accord,2014,"$16,950.00 ",Grey,TOURING NAVIGATION LEATHER SUNROOF BACK UP CAMERA,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,"123,000",https://reports.carproof.com/en/main?id=34OnNI4CMaISU IE/u9OXBCX6HCa7d1T&utm_ref=kijiji,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
Audi,Q7,2015,"$33,899.00 ",Black,"NAVI|REAR CAM|21""|BOSE|PANO",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"94,000",https://www.carproof.com/order?ref=kijiji&vin=WA1VGCFE1FD001806,"150 Deerhide Crescent, North York, ON, M9M 2Y6"
Chevrolet,Traverse,2016,"$27,495.00 ",Other,1LT,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,"64,101",https://reports.carproof.com/en/main?id=5ZE5SlzoUNnE3tmFODRD4JjMQTXIyjX &utm_ref=kijiji,"1900 Victoria Park Avenue, Toronto, ON, M1R 1T6"
Chevrolet,Silverado 1500,2009,"$9,600.00 ",Black,na,Used,Pickup Truck,4 x 4,Automatic,na,"190,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Toronto, ON M2J4A8"
Chevrolet,Malibu,2017,"$19,999.00 ",Grey,LT-NAVIGATION-PANO ROOF-LEATHER-ONLY 44KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"44,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST3HF197275,"301 Weston Road, Toronto, ON, M6N3P1"
Mercedes-Benz,Other,2011,"$26,900.00 ",White,"114K ONLY !! 2500 144"", H-ROOF, CLEAN TITLE, 3.0L",Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,na,"114,465",https://www.carproof.com/order?ref=kijiji&vin=null,"1897 Wilson Avenue, North York, ON, M9M 1A2"
Chevrolet,Corvette,2016,"$76,800.00 ",Other,"Z06 CONVERTIBLE, HEA",Used,Convertible,Rear-wheel drive (RWD),Automatic,na,"21,399",https://www.carproof.com/order?ref=kijiji&vin=1G1YN3D6XG5612880,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Toyota,Yaris,2007,"$5,300.00 ",Silver,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"154,868",https://www.carproof.com/order?ref=kijiji&vin=null,"Etobicoke, ON M8X 2P3"
BMW,3-Series,2014,"$19,500.00 ",White,na,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"64,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M2N 6Z6"
Nissan,Rogue,2010,na,Silver,"S,AWD,no accident ,4cyl",Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"239,000",https://www.carproof.com/order?ref=kijiji&vin=JN8AS5MV3AW118113,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Dodge,Charger,2010,na,Silver,"SE,RWD,no accident",Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,"185,000",https://www.carproof.com/order?ref=kijiji&vin=2B3CA4CD7AH112860,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Toyota,Camry,2014,"$12,988.00 ",Grey,LE-BLUETOOTH-BACK UP CAMERA-ONLY 81KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"81,000",https://www.carproof.com/order?ref=kijiji&vin=4T1BF1FK3EU351244,"301 Weston Road, Toronto, ON, M6N3P1"
Nissan,Quest,2006,"$2,999.00 ",Blue,na,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"150,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1614 Military Trail, Toronto, ON, M1C1B2"
Honda,Accord,2013,"$15,950.00 ",Blue,TOURING V6 NAVIGATION LEATHER SUNROOF BACK UP CAM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"135,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
Volkswagen,Beetle,2017,"$18,995.00 ",White,1.8 TSI Trendline,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"50,000",https://www.carproof.com/order?ref=kijiji&vin=3vwj17at8hm625433,"1800 Lakeshore Road West, Mississauga, ON, L5J 1J7"
Honda,Pilot,2018,"$40,995.00 ",Grey,"EX, specially priced now",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"4,840",https://reports.carproof.com/en/main?id=dDcPTEp0fAbqSx6Y4SF7MPlfa4LSN6dS&utm_ref=kijiji,"940 Ellesmere Road, Scarborough, ON, M1P 2W8"
Subaru,Impreza,2008,"$3,995.00 ",na,na,Used,Other,All-wheel drive (AWD),Automatic,na,"198,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M3J 3K2"
Audi,S5,2013,"$42,800.00 ",Black,"4.2 QUATTRO, 450HP,",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,na,"58,427",https://www.carproof.com/order?ref=kijiji&vin=WUAC6BFR4DA902439,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
