,brand,Year,mpg,Displacement,list_price
2536,Nissan,2014,27.0,1.8,10787
2537,Nissan,2014,30.0,1.8,10787
2538,Nissan,2014,29.0,1.8,10787
2541,Nissan,2017,16.0,3.8,108800
2546,Hyundai,2007,17.0,3.8,3699
2549,Porsche,2014,17.0,3.6,40800
2550,Porsche,2014,15.0,3.6,40800
2552,Chevrolet,2011,26.0,1.8,6039
2553,Chevrolet,2011,22.0,1.4,6039
2554,Chevrolet,2011,24.0,1.8,6039
2555,Hyundai,2013,17.0,2.0,15910
2556,Hyundai,2013,21.0,2.0,15910
2557,Hyundai,2013,16.0,3.8,15910
2558,Hyundai,2013,18.0,3.8,15910
2563,Nissan,2014,27.0,1.8,10787
2564,Nissan,2014,30.0,1.8,10787
2565,Nissan,2014,29.0,1.8,10787
2569,Nissan,2017,16.0,3.8,108800
2574,Volkswagen,2016,25.0,1.8,14500
2575,Volkswagen,2016,24.0,2.0,14500
2576,Volkswagen,2016,23.0,2.0,14500
2577,Volkswagen,2016,25.0,1.8,14500
2578,Volkswagen,2016,28.0,1.4,14500
2579,Volkswagen,2016,28.0,1.4,14500
2580,Nissan,2019,28.0,2.5,40311
2583,Ford,2017,21.0,2.3,37500
2584,Ford,2017,21.0,2.3,37500
2585,Ford,2017,18.0,3.7,37500
2586,Ford,2017,18.0,3.7,37500
2587,Ford,2017,15.0,5.0,37500
2588,Ford,2017,15.0,5.0,37500
2589,Chevrolet,2011,26.0,1.8,6039
2590,Chevrolet,2011,22.0,1.4,6039
2591,Chevrolet,2011,24.0,1.8,6039
2592,Hyundai,2013,17.0,2.0,15910
2593,Hyundai,2013,21.0,2.0,15910
2594,Hyundai,2013,16.0,3.8,15910
2595,Hyundai,2013,18.0,3.8,15910
2600,Nissan,2014,27.0,1.8,10787
2601,Nissan,2014,30.0,1.8,10787
2602,Nissan,2014,29.0,1.8,10787
2606,Nissan,2017,16.0,3.8,108800
2611,Volkswagen,2015,20.0,3.6,15950
2612,Volkswagen,2015,24.0,1.8,15950
2613,Volkswagen,2015,29.0,2.0,15950
2614,Volkswagen,2015,24.0,1.8,15950
2615,Volkswagen,2015,30.0,2.0,15950
2616,Infiniti,2018,24.0,2.0,33999
2621,Volkswagen,2009,21.0,2.0,9910
2622,Volkswagen,2009,19.0,2.0,9910
2623,Volkswagen,2009,18.0,3.6,9910
2624,Honda,2006,26.0,1.8,2910
2625,Honda,2006,26.0,1.8,2910
2626,Honda,2006,20.0,2.0,2910
2632,Chevrolet,2011,26.0,1.8,6039
2633,Chevrolet,2011,22.0,1.4,6039
2634,Chevrolet,2011,24.0,1.8,6039
2635,Hyundai,2013,17.0,2.0,15910
2636,Hyundai,2013,21.0,2.0,15910
2637,Hyundai,2013,16.0,3.8,15910
2638,Hyundai,2013,18.0,3.8,15910
2643,Nissan,2014,27.0,1.8,10787
2644,Nissan,2014,30.0,1.8,10787
2645,Nissan,2014,29.0,1.8,10787
2647,Buick,2015,20.0,2.0,14695
2648,Buick,2015,21.0,2.0,14695
2649,Buick,2015,21.0,2.4,14695
2651,Nissan,2013,27.0,1.8,9995
2652,Nissan,2013,30.0,1.8,9995
2653,Nissan,2013,29.0,1.8,9995
2658,Land Rover,2018,17.0,3.0,118800
2659,Land Rover,2018,16.0,5.0,118800
2660,Land Rover,2018,22.0,3.0,118800
2662,Chevrolet,2011,26.0,1.8,6039
2663,Chevrolet,2011,22.0,1.4,6039
2664,Chevrolet,2011,24.0,1.8,6039
2668,Volkswagen,2009,21.0,2.0,9910
2669,Volkswagen,2009,19.0,2.0,9910
2670,Volkswagen,2009,18.0,3.6,9910
2671,Honda,2006,26.0,1.8,2910
2672,Honda,2006,26.0,1.8,2910
2673,Honda,2006,20.0,2.0,2910
2679,Chevrolet,2011,26.0,1.8,6039
2680,Chevrolet,2011,22.0,1.4,6039
2681,Chevrolet,2011,24.0,1.8,6039
2682,Honda,2014,26.0,2.4,16950
2683,Honda,2014,21.0,3.5,16950
2684,Honda,2014,18.0,3.5,16950
2685,Honda,2014,24.0,2.4,16950
2686,Honda,2014,26.0,2.4,16950
2687,Honda,2014,21.0,3.5,16950
2688,Nissan,2015,27.0,2.5,12450
2689,Nissan,2015,22.0,3.5,12450
2693,Porsche,2012,17.0,3.6,35800
2694,Porsche,2012,15.0,3.6,35800
2700,Land Rover,2018,17.0,3.0,118800
2701,Land Rover,2018,16.0,5.0,118800
2702,Land Rover,2018,22.0,3.0,118800
2703,Dodge,2006,18.0,2.7,0
2704,Dodge,2006,17.0,3.5,0
2705,Dodge,2006,15.0,5.7,0
2706,Dodge,2006,13.0,6.1,0
2707,Chevrolet,2011,26.0,1.8,6039
2708,Chevrolet,2011,22.0,1.4,6039
2709,Chevrolet,2011,24.0,1.8,6039
2715,Volkswagen,2009,21.0,2.0,9910
2716,Volkswagen,2009,19.0,2.0,9910
2717,Volkswagen,2009,18.0,3.6,9910
2718,Honda,2006,26.0,1.8,2910
2719,Honda,2006,26.0,1.8,2910
2720,Honda,2006,20.0,2.0,2910
2725,Porsche,2012,17.0,3.6,35800
2726,Porsche,2012,15.0,3.6,35800
2728,Audi,2018,23.0,2.0,45800
2734,Land Rover,2018,17.0,3.0,118800
2735,Land Rover,2018,16.0,5.0,118800
2736,Land Rover,2018,22.0,3.0,118800
2738,Dodge,2006,18.0,2.7,0
2739,Dodge,2006,17.0,3.5,0
2740,Dodge,2006,15.0,5.7,0
2741,Dodge,2006,13.0,6.1,0
2742,Chevrolet,2011,26.0,1.8,6039
2743,Chevrolet,2011,22.0,1.4,6039
2744,Chevrolet,2011,24.0,1.8,6039
2749,Honda,2014,26.0,2.4,17850
2750,Honda,2014,21.0,3.5,17850
2751,Honda,2014,18.0,3.5,17850
2752,Honda,2014,24.0,2.4,17850
2753,Honda,2014,26.0,2.4,17850
2754,Honda,2014,21.0,3.5,17850
2755,Porsche,2012,17.0,3.6,35800
2756,Porsche,2012,15.0,3.6,35800
2758,Audi,2018,23.0,2.0,45800
2764,Land Rover,2018,17.0,3.0,118800
2765,Land Rover,2018,16.0,5.0,118800
2766,Land Rover,2018,22.0,3.0,118800
2768,Dodge,2006,18.0,2.7,0
2769,Dodge,2006,17.0,3.5,0
2770,Dodge,2006,15.0,5.7,0
2771,Dodge,2006,13.0,6.1,0
2772,Chevrolet,2011,26.0,1.8,6039
2773,Chevrolet,2011,22.0,1.4,6039
2774,Chevrolet,2011,24.0,1.8,6039
2778,Audi,2017,24.0,2.0,49890
2779,Subaru,2015,21.0,2.0,33800
2780,Subaru,2015,17.0,2.5,33800
2781,Subaru,2015,19.0,2.0,33800
2784,Honda,2006,17.0,3.5,3200
2785,Honda,2006,17.0,3.5,3200
2786,Porsche,2012,17.0,3.6,35800
2787,Porsche,2012,15.0,3.6,35800
2789,Audi,2018,23.0,2.0,45800
2795,Land Rover,2018,17.0,3.0,118800
2796,Land Rover,2018,16.0,5.0,118800
2797,Land Rover,2018,22.0,3.0,118800
2799,Dodge,2006,18.0,2.7,0
2800,Dodge,2006,17.0,3.5,0
2801,Dodge,2006,15.0,5.7,0
2802,Dodge,2006,13.0,6.1,0
2803,Chevrolet,2011,26.0,1.8,6039
2804,Chevrolet,2011,22.0,1.4,6039
2805,Chevrolet,2011,24.0,1.8,6039
2807,Hyundai,2017,25.0,2.4,15850
2808,Hyundai,2017,28.0,1.6,15850
2809,Hyundai,2017,22.0,2.0,15850
2810,Land Rover,2015,15.0,3.0,46799
2813,Honda,2006,17.0,3.5,3200
2814,Honda,2006,17.0,3.5,3200
2815,Porsche,2012,17.0,3.6,35800
2816,Porsche,2012,15.0,3.6,35800
2818,Audi,2018,23.0,2.0,45800
2824,Land Rover,2018,17.0,3.0,118800
2825,Land Rover,2018,16.0,5.0,118800
2826,Land Rover,2018,22.0,3.0,118800
2828,Dodge,2006,18.0,2.7,0
2829,Dodge,2006,17.0,3.5,0
2830,Dodge,2006,15.0,5.7,0
2831,Dodge,2006,13.0,6.1,0
2832,Chevrolet,2011,26.0,1.8,6039
2833,Chevrolet,2011,22.0,1.4,6039
2834,Chevrolet,2011,24.0,1.8,6039
2836,Ford,2016,22.0,2.3,22477
2837,Ford,2016,21.0,2.3,22477
2838,Ford,2016,17.0,3.7,22477
2839,Ford,2016,19.0,3.7,22477
2840,Ford,2016,16.0,5.0,22477
2841,Ford,2016,15.0,5.0,22477
2843,Volkswagen,2015,21.0,2.0,18850
2844,Dodge,2018,19.0,3.6,29750
2845,Dodge,2018,16.0,5.7,29750
2846,Dodge,2018,15.0,6.4,29750
2847,Dodge,2018,15.0,5.7,29750
2848,Dodge,2018,14.0,6.4,29750
2849,Jaguar,2014,19.0,2.0,24999
2850,Jaguar,2014,15.0,5.0,24999
2852,Honda,2006,17.0,3.5,3200
2853,Honda,2006,17.0,3.5,3200
2854,Porsche,2012,17.0,3.6,35800
2855,Porsche,2012,15.0,3.6,35800
2857,Audi,2018,23.0,2.0,45800
2863,Land Rover,2018,17.0,3.0,118800
2864,Land Rover,2018,16.0,5.0,118800
2865,Land Rover,2018,22.0,3.0,118800
2867,Dodge,2006,18.0,2.7,0
2868,Dodge,2006,17.0,3.5,0
2869,Dodge,2006,15.0,5.7,0
2870,Dodge,2006,13.0,6.1,0
2871,Chevrolet,2011,26.0,1.8,6039
2872,Chevrolet,2011,22.0,1.4,6039
2873,Chevrolet,2011,24.0,1.8,6039
2877,Volkswagen,2015,24.0,2.0,8750
2878,Volkswagen,2015,23.0,2.0,8750
2879,Volkswagen,2015,30.0,2.0,8750
2880,Volkswagen,2015,31.0,2.0,8750
2881,Volkswagen,2015,25.0,2.0,8750
2882,Volkswagen,2015,25.0,1.8,8750
2883,Volkswagen,2015,25.0,1.8,8750
2884,Volkswagen,2015,22.0,2.0,8750
2885,Saturn,2008,22.0,2.4,3495
2886,Saturn,2008,18.0,3.5,3495
2887,Saturn,2008,17.0,3.6,3495
2889,Honda,2006,17.0,3.5,3200
2890,Honda,2006,17.0,3.5,3200
2891,Porsche,2012,17.0,3.6,35800
2892,Porsche,2012,15.0,3.6,35800
2894,Audi,2018,23.0,2.0,45800
2900,Land Rover,2018,17.0,3.0,118800
2901,Land Rover,2018,16.0,5.0,118800
2902,Land Rover,2018,22.0,3.0,118800
2904,Dodge,2006,18.0,2.7,0
2905,Dodge,2006,17.0,3.5,0
2906,Dodge,2006,15.0,5.7,0
2907,Dodge,2006,13.0,6.1,0
2908,Chevrolet,2011,26.0,1.8,6039
2909,Chevrolet,2011,22.0,1.4,6039
2910,Chevrolet,2011,24.0,1.8,6039
2917,Honda,2006,17.0,3.5,3200
2918,Honda,2006,17.0,3.5,3200
2919,Porsche,2012,17.0,3.6,35800
2920,Porsche,2012,15.0,3.6,35800
2922,Audi,2018,23.0,2.0,45800
2928,Land Rover,2018,17.0,3.0,118800
2929,Land Rover,2018,16.0,5.0,118800
2930,Land Rover,2018,22.0,3.0,118800
2932,Dodge,2006,18.0,2.7,0
2933,Dodge,2006,17.0,3.5,0
2934,Dodge,2006,15.0,5.7,0
2935,Dodge,2006,13.0,6.1,0
2936,Chevrolet,2011,26.0,1.8,6039
2937,Chevrolet,2011,22.0,1.4,6039
2938,Chevrolet,2011,24.0,1.8,6039
2941,Toyota,2010,25.0,1.8,5498
2942,Toyota,2010,26.0,1.8,5498
2943,Toyota,2010,20.0,2.4,5498
2944,Toyota,2010,21.0,2.4,5498
2945,Toyota,2010,21.0,2.4,5498
2947,Acura,2004,18.0,3.2,2350
2948,Acura,2004,18.0,3.2,2350
2950,Honda,2006,17.0,3.5,3200
2951,Honda,2006,17.0,3.5,3200
2952,Nissan,2015,27.0,1.8,9800
2953,Nissan,2015,29.0,1.8,9800
2954,Porsche,2012,17.0,3.6,35800
2955,Porsche,2012,15.0,3.6,35800
2957,Audi,2018,23.0,2.0,45800
2963,Land Rover,2018,17.0,3.0,118800
2964,Land Rover,2018,16.0,5.0,118800
2965,Land Rover,2018,22.0,3.0,118800
2967,Honda,2019,19.0,3.5,51900
2968,Honda,2019,19.0,3.5,51900
2970,Volkswagen,2012,19.0,3.0,17998
2971,Volkswagen,2012,16.0,3.6,17998
2972,Porsche,2007,19.0,2.7,27800
2973,Porsche,2007,20.0,2.7,27800
2974,Porsche,2007,19.0,2.7,27800
2975,Acura,2004,18.0,3.2,2350
2976,Acura,2004,18.0,3.2,2350
2978,Honda,2006,17.0,3.5,3200
2979,Honda,2006,17.0,3.5,3200
2980,Nissan,2015,27.0,1.8,9800
2981,Nissan,2015,29.0,1.8,9800
2982,Porsche,2012,17.0,3.6,35800
2983,Porsche,2012,15.0,3.6,35800
2985,Audi,2018,23.0,2.0,45800
2991,Land Rover,2018,17.0,3.0,118800
2992,Land Rover,2018,16.0,5.0,118800
2993,Land Rover,2018,22.0,3.0,118800
2998,Chevrolet,2017,30.0,1.4,0
2999,Chevrolet,2017,28.0,1.4,0
3000,Chevrolet,2017,31.0,1.6,0
3001,Chevrolet,2017,30.0,1.6,0
3002,Acura,2004,18.0,3.2,2350
3003,Acura,2004,18.0,3.2,2350
3005,Honda,2006,17.0,3.5,3200
3006,Honda,2006,17.0,3.5,3200
3007,Nissan,2015,27.0,1.8,9800
3008,Nissan,2015,29.0,1.8,9800
3009,Porsche,2012,17.0,3.6,35800
3010,Porsche,2012,15.0,3.6,35800
3012,Audi,2018,23.0,2.0,45800
3018,Land Rover,2018,17.0,3.0,118800
3019,Land Rover,2018,16.0,5.0,118800
3020,Land Rover,2018,22.0,3.0,118800
3024,Chevrolet,2014,27.0,2.0,10450
3025,Chevrolet,2014,26.0,1.4,10450
3026,Chevrolet,2014,25.0,1.8,10450
3027,Chevrolet,2014,22.0,1.8,10450
3028,Chevrolet,2014,26.0,1.4,10450
3029,Audi,2015,23.0,3.0,36800
3030,Audi,2015,20.0,2.0,36800
3031,Audi,2015,18.0,3.0,36800
3034,Audi,2016,23.0,3.0,34988
3035,Audi,2016,20.0,2.0,34988
3036,Audi,2016,18.0,3.0,34988
3037,Acura,2004,18.0,3.2,2350
3038,Acura,2004,18.0,3.2,2350
3040,Honda,2006,17.0,3.5,3200
3041,Honda,2006,17.0,3.5,3200
3042,Nissan,2015,27.0,1.8,9800
3043,Nissan,2015,29.0,1.8,9800
3044,Porsche,2012,17.0,3.6,35800
3045,Porsche,2012,15.0,3.6,35800
3047,Audi,2018,23.0,2.0,45800
3058,Audi,2016,23.0,3.0,34988
3059,Audi,2016,20.0,2.0,34988
3060,Audi,2016,18.0,3.0,34988
3061,Acura,2004,18.0,3.2,2350
3062,Acura,2004,18.0,3.2,2350
3064,Honda,2006,17.0,3.5,3200
3065,Honda,2006,17.0,3.5,3200
3066,Nissan,2015,27.0,1.8,9800
3067,Nissan,2015,29.0,1.8,9800
3068,Porsche,2012,17.0,3.6,35800
3069,Porsche,2012,15.0,3.6,35800
3071,Chevrolet,2014,27.0,2.0,8900
3072,Chevrolet,2014,26.0,1.4,8900
3073,Chevrolet,2014,25.0,1.8,8900
3074,Chevrolet,2014,22.0,1.8,8900
3075,Chevrolet,2014,26.0,1.4,8900
3077,Hyundai,2014,24.0,2.4,0
3078,Hyundai,2014,21.0,2.0,0
3086,Audi,2016,23.0,3.0,34988
3087,Audi,2016,20.0,2.0,34988
3088,Audi,2016,18.0,3.0,34988
3089,Acura,2004,18.0,3.2,2350
3090,Acura,2004,18.0,3.2,2350
3092,Honda,2006,17.0,3.5,3200
3093,Honda,2006,17.0,3.5,3200
3094,Volkswagen,2015,20.0,3.6,16250
3095,Volkswagen,2015,24.0,1.8,16250
3096,Volkswagen,2015,29.0,2.0,16250
3097,Volkswagen,2015,24.0,1.8,16250
3098,Volkswagen,2015,30.0,2.0,16250
3102,Audi,2014,19.0,3.0,34800
3103,Audi,2014,16.0,3.0,34800
3104,Hyundai,2014,24.0,2.4,0
3105,Hyundai,2014,21.0,2.0,0
3113,Audi,2016,23.0,3.0,34988
3114,Audi,2016,20.0,2.0,34988
3115,Audi,2016,18.0,3.0,34988
3116,Acura,2004,18.0,3.2,2350
3117,Acura,2004,18.0,3.2,2350
3119,Honda,2006,17.0,3.5,3200
3120,Honda,2006,17.0,3.5,3200
3123,Volkswagen,2012,24.0,2.5,11780
3124,Volkswagen,2012,23.0,2.5,11780
3125,Volkswagen,2012,29.0,2.0,11780
3126,Volkswagen,2012,29.0,2.0,11780
3128,Hyundai,2014,24.0,2.4,0
3129,Hyundai,2014,21.0,2.0,0
3137,Audi,2016,23.0,3.0,34988
3138,Audi,2016,20.0,2.0,34988
3139,Audi,2016,18.0,3.0,34988
3140,Acura,2004,18.0,3.2,2350
3141,Acura,2004,18.0,3.2,2350
3143,Honda,2006,17.0,3.5,3200
3144,Honda,2006,17.0,3.5,3200
3146,Ford,2015,17.0,3.7,34000
3147,Ford,2015,19.0,3.7,34000
3148,Ford,2015,15.0,5.0,34000
3149,Ford,2015,22.0,2.3,34000
3150,Ford,2015,21.0,2.3,34000
3151,Ford,2015,16.0,5.0,34000
3152,Volkswagen,2016,20.0,3.6,17990
3153,Volkswagen,2016,25.0,1.8,17990
3155,Toyota,2012,24.0,2.5,9980
3156,Toyota,2012,21.0,3.5,9980
3157,Hyundai,2014,24.0,2.4,0
3158,Hyundai,2014,21.0,2.0,0
3166,Audi,2016,23.0,3.0,34988
3167,Audi,2016,20.0,2.0,34988
3168,Audi,2016,18.0,3.0,34988
3169,Acura,2004,18.0,3.2,2350
3170,Acura,2004,18.0,3.2,2350
3172,Honda,2006,17.0,3.5,3200
3173,Honda,2006,17.0,3.5,3200
3175,Hyundai,2017,28.0,2.0,28678
3176,Hyundai,2017,26.0,2.0,28678
3177,Hyundai,2017,32.0,1.4,28678
3178,Hyundai,2017,26.0,1.6,28678
3179,Hyundai,2017,22.0,1.6,28678
3182,Hyundai,2014,24.0,2.4,0
3183,Hyundai,2014,21.0,2.0,0
3191,Audi,2016,23.0,3.0,34988
3192,Audi,2016,20.0,2.0,34988
3193,Audi,2016,18.0,3.0,34988
3194,Acura,2004,18.0,3.2,2350
3195,Acura,2004,18.0,3.2,2350
3197,Honda,2006,17.0,3.5,3200
3198,Honda,2006,17.0,3.5,3200
3200,Subaru,2014,21.0,2.0,21495
3201,Subaru,2014,24.0,2.0,21495
3202,Honda,2012,28.0,1.8,6995
3203,Honda,2012,28.0,1.8,6995
3204,Honda,2012,22.0,2.4,6995
3206,Dodge,2016,19.0,2.4,14850
3207,Dodge,2016,17.0,3.6,14850
3209,Hyundai,2014,24.0,2.4,0
3210,Hyundai,2014,21.0,2.0,0
3218,Audi,2016,23.0,3.0,34988
3219,Audi,2016,20.0,2.0,34988
3220,Audi,2016,18.0,3.0,34988
3221,Acura,2004,18.0,3.2,2350
3222,Acura,2004,18.0,3.2,2350
3225,Honda,2012,18.0,3.5,21999
3226,Honda,2012,19.0,3.5,21999
3230,Hyundai,2014,24.0,2.4,0
3231,Hyundai,2014,21.0,2.0,0
3239,Audi,2016,23.0,3.0,34988
3240,Audi,2016,20.0,2.0,34988
3241,Audi,2016,18.0,3.0,34988
3242,Acura,2004,18.0,3.2,2350
3243,Acura,2004,18.0,3.2,2350
3245,Dodge,2019,17.0,3.6,39695
3246,Dodge,2019,17.0,3.6,39695
3250,Hyundai,2014,24.0,2.4,0
3251,Hyundai,2014,21.0,2.0,0
3259,Audi,2016,23.0,3.0,34988
3260,Audi,2016,20.0,2.0,34988
3261,Audi,2016,18.0,3.0,34988
3262,Acura,2004,18.0,3.2,2350
3263,Acura,2004,18.0,3.2,2350
3267,Audi,2016,24.0,2.0,24450
3270,Hyundai,2014,24.0,2.4,0
3271,Hyundai,2014,21.0,2.0,0
3279,Audi,2016,23.0,3.0,34988
3280,Audi,2016,20.0,2.0,34988
3281,Audi,2016,18.0,3.0,34988
3282,Acura,2004,18.0,3.2,2350
3283,Acura,2004,18.0,3.2,2350
3287,Nissan,2009,16.0,3.8,56988
3289,Hyundai,2014,24.0,2.4,0
3290,Hyundai,2014,21.0,2.0,0
3298,Audi,2016,23.0,3.0,34988
3299,Audi,2016,20.0,2.0,34988
3300,Audi,2016,18.0,3.0,34988
3301,Acura,2004,18.0,3.2,2350
3302,Acura,2004,18.0,3.2,2350
3307,Dodge,2014,17.0,3.6,12999
3308,Dodge,2014,17.0,3.6,12999
3311,Hyundai,2014,24.0,2.4,0
3312,Hyundai,2014,21.0,2.0,0
3320,Audi,2016,23.0,3.0,34988
3321,Audi,2016,20.0,2.0,34988
3322,Audi,2016,18.0,3.0,34988
3323,Acura,2004,18.0,3.2,2350
3324,Acura,2004,18.0,3.2,2350
3325,Audi,2017,20.0,2.0,38995
3326,Honda,2015,29.0,1.8,14980
3327,Honda,2015,29.0,1.8,14980
3328,Honda,2015,28.0,1.8,14980
3329,Honda,2015,22.0,2.4,14980
3330,Ford,2011,15.0,5.4,14900
3331,Ford,2011,19.0,3.7,14900
3332,Ford,2011,19.0,3.7,14900
3333,Ford,2011,17.0,5.0,14900
3334,Ford,2011,18.0,5.0,14900
3337,Hyundai,2014,24.0,2.4,0
3338,Hyundai,2014,21.0,2.0,0
3346,Audi,2016,23.0,3.0,34988
3347,Audi,2016,20.0,2.0,34988
3348,Audi,2016,18.0,3.0,34988
3349,Acura,2004,18.0,3.2,2350
3350,Acura,2004,18.0,3.2,2350
3353,Nissan,2014,31.0,1.6,8850
3354,Nissan,2014,27.0,1.6,8850
3355,Nissan,2014,26.0,1.6,8850
3361,Hyundai,2014,24.0,2.4,0
3362,Hyundai,2014,21.0,2.0,0
3370,Audi,2016,23.0,3.0,34988
3371,Audi,2016,20.0,2.0,34988
3372,Audi,2016,18.0,3.0,34988
3373,Acura,2004,18.0,3.2,2350
3374,Acura,2004,18.0,3.2,2350
3383,Hyundai,2014,24.0,2.4,0
3384,Hyundai,2014,21.0,2.0,0
3392,Land Rover,2012,18.0,2.0,29999
3394,Volkswagen,2013,24.0,2.0,9995
3395,Volkswagen,2013,22.0,2.0,9995
3396,Volkswagen,2013,29.0,2.0,9995
3397,Volkswagen,2013,29.0,2.0,9995
3398,Volkswagen,2013,23.0,2.0,9995
3399,Volkswagen,2013,24.0,2.0,9995
3400,Volkswagen,2013,24.0,2.5,9995
3401,Volkswagen,2013,23.0,2.5,9995
3402,Nissan,2014,27.0,1.8,10850
3403,Nissan,2014,30.0,1.8,10850
3404,Nissan,2014,29.0,1.8,10850
3409,Hyundai,2014,24.0,2.4,0
3410,Hyundai,2014,21.0,2.0,0
3418,Volkswagen,2015,20.0,3.6,15990
3419,Volkswagen,2015,24.0,1.8,15990
3420,Volkswagen,2015,29.0,2.0,15990
3421,Volkswagen,2015,24.0,1.8,15990
3422,Volkswagen,2015,30.0,2.0,15990
3423,Dodge,2018,17.0,3.6,26995
3424,Dodge,2018,17.0,3.6,26995
3425,Cadillac,2015,17.0,3.6,28200
3432,Hyundai,2014,24.0,2.4,0
3433,Hyundai,2014,21.0,2.0,0
3449,Hyundai,2014,24.0,2.4,0
3450,Hyundai,2014,21.0,2.0,0
3459,Nissan,2017,27.0,1.8,14763
3460,Nissan,2017,29.0,1.8,14763
3461,Nissan,2017,26.0,1.6,14763
3462,Nissan,2017,27.0,1.6,14763
3469,Hyundai,2014,24.0,2.4,0
3470,Hyundai,2014,21.0,2.0,0
3481,Chevrolet,2014,27.0,2.0,10450
3482,Chevrolet,2014,26.0,1.4,10450
3483,Chevrolet,2014,25.0,1.8,10450
3484,Chevrolet,2014,22.0,1.8,10450
3485,Chevrolet,2014,26.0,1.4,10450
3490,Hyundai,2014,24.0,2.4,0
3491,Hyundai,2014,21.0,2.0,0
3502,Audi,2012,22.0,2.0,9500
3505,Hyundai,2014,24.0,2.4,0
3506,Hyundai,2014,21.0,2.0,0
3514,Dodge,2019,17.0,3.6,29230
3515,Dodge,2019,17.0,3.6,29230
3516,Infiniti,2012,18.0,3.7,14995
3517,Honda,2014,26.0,2.4,17850
3518,Honda,2014,21.0,3.5,17850
3519,Honda,2014,18.0,3.5,17850
3520,Honda,2014,24.0,2.4,17850
3521,Honda,2014,26.0,2.4,17850
3522,Honda,2014,21.0,3.5,17850
3526,Audi,2012,22.0,2.0,9500
3529,Hyundai,2014,24.0,2.4,7999
3530,Hyundai,2014,21.0,2.0,7999
3538,Dodge,2016,17.0,3.6,19995
3539,Dodge,2016,17.0,3.6,19995
3541,Audi,2014,17.0,4.0,39888
3542,Audi,2014,18.0,3.0,39888
3544,Honda,2009,26.0,1.8,5500
3545,Honda,2009,25.0,1.8,5500
3546,Honda,2009,21.0,2.0,5500
3549,Audi,2012,22.0,2.0,9500
3552,Hyundai,2014,24.0,2.4,7999
3553,Hyundai,2014,21.0,2.0,7999
3564,Honda,2009,26.0,1.8,5500
3565,Honda,2009,25.0,1.8,5500
3566,Honda,2009,21.0,2.0,5500
3569,Audi,2012,22.0,2.0,9500
3572,Hyundai,2014,24.0,2.4,7999
3573,Hyundai,2014,21.0,2.0,7999
3582,Toyota,2014,23.0,2.5,14950
3584,Honda,2009,26.0,1.8,5500
3585,Honda,2009,25.0,1.8,5500
3586,Honda,2009,21.0,2.0,5500
3589,Audi,2012,22.0,2.0,9500
3592,Hyundai,2014,24.0,2.4,7999
3593,Hyundai,2014,21.0,2.0,7999
3599,Nissan,2005,21.0,2.5,2999
3600,Nissan,2005,21.0,2.5,2999
3601,Nissan,2005,19.0,3.5,2999
3602,Nissan,2005,18.0,3.5,2999
3603,Nissan,2005,18.0,3.5,2999
3604,Honda,2009,26.0,1.8,5500
3605,Honda,2009,25.0,1.8,5500
3606,Honda,2009,21.0,2.0,5500
3609,Audi,2012,22.0,2.0,9500
3612,Hyundai,2014,24.0,2.4,7999
3613,Hyundai,2014,21.0,2.0,7999
3621,Volkswagen,2015,20.0,3.6,16990
3622,Volkswagen,2015,24.0,1.8,16990
3623,Volkswagen,2015,29.0,2.0,16990
3624,Volkswagen,2015,24.0,1.8,16990
3625,Volkswagen,2015,30.0,2.0,16990
3626,Honda,2009,26.0,1.8,5500
3627,Honda,2009,25.0,1.8,5500
3628,Honda,2009,21.0,2.0,5500
3631,Audi,2012,22.0,2.0,9500
3634,Hyundai,2014,24.0,2.4,7999
3635,Hyundai,2014,21.0,2.0,7999
3643,Audi,2016,20.0,2.0,28890
3647,Audi,2012,22.0,2.0,9500
3650,Hyundai,2014,24.0,2.4,7999
3651,Hyundai,2014,21.0,2.0,7999
3655,Chevrolet,2013,26.0,1.4,8888
3656,Chevrolet,2013,26.0,1.4,8888
3657,Chevrolet,2013,25.0,1.8,8888
3658,Chevrolet,2013,22.0,1.8,8888
3662,Honda,2009,26.0,1.8,5500
3663,Honda,2009,25.0,1.8,5500
3664,Honda,2009,21.0,2.0,5500
3667,Audi,2012,22.0,2.0,9500
3670,Hyundai,2014,24.0,2.4,7999
3671,Hyundai,2014,21.0,2.0,7999
3676,Porsche,2013,17.0,3.6,53988
3677,Porsche,2013,15.0,3.6,53988
3678,Nissan,2015,27.0,1.8,13999
3679,Nissan,2015,29.0,1.8,13999
3682,Honda,2009,26.0,1.8,5500
3683,Honda,2009,25.0,1.8,5500
3684,Honda,2009,21.0,2.0,5500
3687,Audi,2012,22.0,2.0,9500
3690,Hyundai,2014,24.0,2.4,7999
3691,Hyundai,2014,21.0,2.0,7999
3696,Nissan,2005,24.0,1.8,1800
3697,Nissan,2005,24.0,1.8,1800
3698,Nissan,2005,20.0,2.5,1800
3699,Nissan,2005,20.0,2.5,1800
3701,Honda,2009,26.0,1.8,5500
3702,Honda,2009,25.0,1.8,5500
3703,Honda,2009,21.0,2.0,5500
3706,Audi,2012,22.0,2.0,9500
3709,Hyundai,2014,24.0,2.4,7999
3710,Hyundai,2014,21.0,2.0,7999
3712,Honda,2016,19.0,3.5,29900
3714,Volkswagen,2012,24.0,2.0,10888
3715,Volkswagen,2012,22.0,2.0,10888
